  t=34.697059, Gx=4.091603, Gy=0.198473, Gz=-4.045802, Ax=0.430420, Ay=-0.274902, Az=0.866699
  t=34.744118, Gx=-9.068702, Gy=16.854962, Gz=-7.732824, Ax=0.297363, Ay=-0.192139, Az=0.965820
  t=34.791176, Gx=5.297710, Gy=9.977099, Gz=-9.206107, Ax=0.436523, Ay=-0.253662, Az=0.891846
  t=34.744118, Gx=5.366412, Gy=4.129771, Gz=-3.015267, Ax=0.247070, Ay=-0.069336, Az=0.956787
  t=34.555882, Gx=-4.862595, Gy=-3.824427, Gz=-2.755725, Ax=-0.061768, Ay=0.328857, Az=0.917480
  t=34.602941, Gx=17.343511, Gy=19.022901, Gz=14.030534, Ax=0.112061, Ay=0.403076, Az=0.872314
  t=34.508824, Gx=-22.366412, Gy=-0.641221, Gz=-13.809160, Ax=0.050049, Ay=0.554932, Az=0.868652
  t=34.508824, Gx=-4.213740, Gy=-1.068702, Gz=-25.305344, Ax=0.369385, Ay=0.429688, Az=0.542480
  t=34.602941, Gx=3.335878, Gy=1.389313, Gz=-2.419847, Ax=0.325439, Ay=0.245605, Az=0.927734
  t=34.602941, Gx=-2.251908, Gy=-1.167939, Gz=-1.916031, Ax=0.317383, Ay=0.228027, Az=0.905029
  t=34.461765, Gx=-18.496183, Gy=5.396947, Gz=7.725191, Ax=0.278564, Ay=-0.007080, Az=0.914551
  t=34.414706, Gx=15.763359, Gy=-52.381679, Gz=38.465649, Ax=0.532227, Ay=-0.143555, Az=0.819092
  t=34.555882, Gx=-0.534351, Gy=-7.244275, Gz=-1.351145, Ax=0.409668, Ay=-0.073975, Az=0.922852
  t=34.508824, Gx=18.992366, Gy=23.801527, Gz=11.358779, Ax=0.354248, Ay=-0.010254, Az=0.905273
  t=34.461765, Gx=-17.343511, Gy=-20.503817, Gz=21.534351, Ax=0.551758, Ay=0.144775, Az=0.789062
  t=34.461765, Gx=-42.625954, Gy=9.580153, Gz=-6.259542, Ax=0.688232, Ay=0.040039, Az=0.750000
  t=34.461765, Gx=-5.374046, Gy=-30.511450, Gz=-4.801527, Ax=0.477783, Ay=-0.258789, Az=0.906494
  t=34.320588, Gx=-17.015267, Gy=-14.015267, Gz=-10.137405, Ax=0.262939, Ay=-0.299805, Az=0.771484
  t=34.273529, Gx=12.908397, Gy=8.106870, Gz=4.839695, Ax=0.579590, Ay=-0.179932, Az=0.823730
  t=34.320588, Gx=-10.503817, Gy=-32.114504, Gz=12.427481, Ax=0.112305, Ay=-0.151855, Az=0.951416
  t=34.273529, Gx=-0.213740, Gy=-8.816794, Gz=5.893130, Ax=0.549316, Ay=-0.426025, Az=0.681885
  t=34.414706, Gx=-10.389313, Gy=8.748092, Gz=-10.847328, Ax=0.450684, Ay=-0.434326, Az=0.861084
  t=34.273529, Gx=16.091603, Gy=46.274809, Gz=35.137405, Ax=-0.113037, Ay=-0.017822, Az=1.047363
  t=34.320588, Gx=16.916031, Gy=17.442748, Gz=27.076336, Ax=0.088623, Ay=-0.076660, Az=1.017578
  t=34.320588, Gx=-6.007634, Gy=3.259542, Gz=0.854962, Ax=0.211914, Ay=0.044922, Az=0.995850
  t=34.273529, Gx=6.160305, Gy=-1.877863, Gz=2.908397, Ax=0.385986, Ay=-0.125000, Az=0.943115
  t=34.320588, Gx=-7.167939, Gy=13.534351, Gz=-18.160305, Ax=0.055176, Ay=-0.058105, Az=0.872314
  t=34.320588, Gx=-2.480916, Gy=14.564885, Gz=-12.366412, Ax=0.054443, Ay=-0.001709, Az=1.026123
  t=34.320588, Gx=-4.366412, Gy=-2.137405, Gz=0.717557, Ax=0.180664, Ay=-0.056152, Az=1.002930
  t=34.320588, Gx=42.709924, Gy=47.045802, Gz=3.503817, Ax=0.450928, Ay=-0.128662, Az=0.966553
  t=34.367647, Gx=7.167939, Gy=10.877863, Gz=-15.793893, Ax=0.284180, Ay=-0.068115, Az=0.892578
  t=34.367647, Gx=35.732824, Gy=-19.099237, Gz=4.633588, Ax=-0.167725, Ay=-0.333740, Az=0.973633
  t=34.320588, Gx=-53.129771, Gy=-1.251908, Gz=-41.961832, Ax=0.149902, Ay=-0.122314, Az=0.785156
  t=34.932353, Gx=25.000000, Gy=-4.129771, Gz=-10.496183, Ax=0.500977, Ay=-0.233398, Az=0.800781
  t=34.273529, Gx=3.267176, Gy=-15.488550, Gz=8.282443, Ax=0.426025, Ay=-0.065186, Az=0.909180
  t=34.226471, Gx=12.916031, Gy=-0.122137, Gz=2.274809, Ax=0.714111, Ay=-0.189941, Az=0.763184
  t=34.320588, Gx=-5.763359, Gy=1.610687, Gz=1.435115, Ax=0.653320, Ay=-0.133057, Az=0.751465
  t=34.320588, Gx=-2.068702, Gy=-1.664122, Gz=-1.213740, Ax=0.640137, Ay=-0.168701, Az=0.738037
  t=34.132353, Gx=1.229008, Gy=3.809160, Gz=-9.709924, Ax=0.630127, Ay=-0.194824, Az=0.850586
  t=34.179412, Gx=31.648855, Gy=20.328244, Gz=23.587786, Ax=0.326660, Ay=0.114990, Az=0.938721
  t=34.226471, Gx=1.725191, Gy=0.931298, Gz=-6.625954, Ax=0.364014, Ay=-0.079834, Az=0.948730
  t=34.132353, Gx=-85.923664, Gy=36.732824, Gz=7.847328, Ax=0.207764, Ay=-0.057617, Az=1.005127
  t=34.226471, Gx=3.900763, Gy=2.343511, Gz=-1.190840, Ax=0.043701, Ay=-0.540527, Az=0.824219
  t=34.179412, Gx=-4.206107, Gy=-2.213740, Gz=-1.618321, Ax=0.065918, Ay=-0.526855, Az=0.835205
  t=34.226471, Gx=-17.015267, Gy=-37.656489, Gz=21.358779, Ax=0.431152, Ay=-0.640137, Az=0.697510
  t=34.179412, Gx=-3.641221, Gy=1.488550, Gz=-5.160305, Ax=0.395020, Ay=-0.700928, Az=0.650879
  t=34.179412, Gx=1.045802, Gy=2.534351, Gz=-5.099237, Ax=0.473633, Ay=-0.727295, Az=0.583496
  t=34.038235, Gx=-22.954198, Gy=-8.488550, Gz=10.061069, Ax=0.395996, Ay=-0.742188, Az=0.664307
  t=34.085294, Gx=3.045802, Gy=-6.122137, Gz=6.038168, Ax=0.364014, Ay=-0.662109, Az=0.573730
  t=34.179412, Gx=2.396947, Gy=15.122137, Gz=-19.862595, Ax=0.457275, Ay=-0.754150, Az=0.665283
  t=34.179412, Gx=-4.099237, Gy=-6.251908, Gz=0.725191, Ax=0.459473, Ay=-0.772949, Az=0.491943
  t=34.179412, Gx=-15.572519, Gy=-9.961832, Gz=-5.488550, Ax=0.429199, Ay=-0.776855, Az=0.643555
  t=34.179412, Gx=1.839695, Gy=2.465649, Gz=-2.274809, Ax=0.385010, Ay=-0.754639, Az=0.503174
  t=34.179412, Gx=2.557252, Gy=4.259542, Gz=-3.534351, Ax=0.316406, Ay=-0.672363, Az=0.659912
  t=34.179412, Gx=-23.435115, Gy=-21.396947, Gz=8.832061, Ax=0.301270, Ay=-0.680420, Az=0.664795
  t=34.226471, Gx=98.641221, Gy=87.213740, Gz=-46.755725, Ax=0.483887, Ay=-0.826904, Az=0.554688
  t=34.179412, Gx=3.320611, Gy=-6.671756, Gz=-3.557252, Ax=-0.104492, Ay=0.220459, Az=0.976807
  t=34.132353, Gx=15.877863, Gy=7.465649, Gz=-14.106870, Ax=-0.010010, Ay=0.277100, Az=0.865967
  t=34.132353, Gx=-89.519084, Gy=-55.061069, Gz=74.259542, Ax=0.175049, Ay=-0.305176, Az=1.116699
  t=34.132353, Gx=-17.633588, Gy=-4.145038, Gz=-3.618321, Ax=0.372314, Ay=-0.865723, Az=0.614014
  t=34.179412, Gx=-4.725191, Gy=-3.740458, Gz=-1.931298, Ax=0.255371, Ay=-0.771484, Az=0.544922
  t=34.038235, Gx=1.099237, Gy=3.198473, Gz=-10.221374, Ax=0.336426, Ay=-0.830566, Az=0.480469
  t=34.179412, Gx=-14.351145, Gy=-0.167939, Gz=-19.847328, Ax=0.695801, Ay=-0.637695, Az=0.540283
  t=34.085294, Gx=13.732824, Gy=2.541985, Gz=-11.358779, Ax=0.664307, Ay=-0.343994, Az=0.763428
  t=34.179412, Gx=0.755725, Gy=8.648855, Gz=-16.587786, Ax=0.578369, Ay=-0.302734, Az=0.788086
  t=33.520588, Gx=-8.557252, Gy=-15.076336, Gz=-7.061069, Ax=-0.006104, Ay=0.295654, Az=1.114014
  t=33.520588, Gx=52.343511, Gy=43.496183, Gz=38.633588, Ax=-0.071045, Ay=0.271729, Az=0.960205
  t=34.226471, Gx=-40.366412, Gy=-46.908397, Gz=3.320611, Ax=0.057373, Ay=0.165771, Az=0.945068
  t=34.979412, Gx=25.824427, Gy=-4.740458, Gz=1.648855, Ax=0.071777, Ay=0.241699, Az=0.934326
  t=33.567647, Gx=46.374046, Gy=-9.076336, Gz=46.007634, Ax=-0.345215, Ay=0.230713, Az=1.064209
  t=34.320588, Gx=6.549618, Gy=-21.305344, Gz=-0.687023, Ax=-0.134766, Ay=0.290283, Az=0.722900
  t=34.273529, Gx=-11.206107, Gy=-35.633588, Gz=32.419847, Ax=0.109131, Ay=0.213135, Az=0.763184
  t=33.567647, Gx=9.175573, Gy=36.412214, Gz=-19.114504, Ax=0.311035, Ay=0.042725, Az=0.913330
  t=34.179412, Gx=54.488550, Gy=56.816794, Gz=-33.854962, Ax=0.629150, Ay=-0.339600, Az=0.756348
  t=34.085294, Gx=-10.786260, Gy=16.435115, Gz=-47.526718, Ax=-0.197754, Ay=0.262207, Az=0.970703
  t=34.132353, Gx=-134.114504, Gy=-112.580153, Gz=84.641221, Ax=-0.146973, Ay=0.298340, Az=0.823486
  t=34.179412, Gx=72.259542, Gy=43.870229, Gz=-24.366412, Ax=0.315674, Ay=0.108154, Az=0.902344
  t=34.179412, Gx=-7.183206, Gy=-2.183206, Gz=-2.893130, Ax=0.114746, Ay=0.290283, Az=0.891846
  t=34.179412, Gx=9.000000, Gy=13.656489, Gz=-52.251908, Ax=0.389648, Ay=-0.217285, Az=0.903809
  t=34.085294, Gx=-21.717557, Gy=-1.122137, Gz=-13.404580, Ax=-0.109375, Ay=0.536865, Az=0.836426
  t=33.991176, Gx=-9.251908, Gy=-25.435115, Gz=22.687023, Ax=-0.015625, Ay=0.460938, Az=0.926514
  t=34.085294, Gx=-7.412214, Gy=145.450382, Gz=-17.961832, Ax=0.362305, Ay=0.122803, Az=0.356445
