accel:{'x': 0.319, 'y': -0.206, 'z': -0.947}, gyro:{'x': -11.475, 'y': 1.938, 'z': -1.213}, agnet:{'x': -19.135, 'y': 4.231, 'z': -35.208}
accel:{'x': 0.308, 'y': -0.193, 'z': -0.957}, gyro:{'x': 14.221, 'y': 5.676, 'z': 17.227}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.299, 'y': -0.132, 'z': -0.995}, gyro:{'x': -36.598, 'y': -9.232, 'z': 3.403}, agnet:{'x': -17.047, 'y': 3.173, 'z': -35.208}
accel:{'x': 0.331, 'y': -0.267, 'z': -1.041}, gyro:{'x': 47.371, 'y': 2.67, 'z': 14.038}, agnet:{'x': -17.395, 'y': 2.468, 'z': -35.208}
accel:{'x': 0.349, 'y': -0.201, 'z': -0.89}, gyro:{'x': -18.829, 'y': 49.377, 'z': 35.614}, agnet:{'x': -16.873, 'y': 1.939, 'z': -34.361}
accel:{'x': 0.401, 'y': -0.269, 'z': -1.059}, gyro:{'x': 2.289, 'y': 5.226, 'z': 18.333}, agnet:{'x': -15.308, 'y': -0.353, 'z': -33.515}
accel:{'x': 0.321, 'y': -0.156, 'z': -0.921}, gyro:{'x': -15.938, 'y': -2.724, 'z': -31.609}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.358, 'y': -0.21, 'z': -0.88}, gyro:{'x': -13.985, 'y': 42.534, 'z': 34.393}, agnet:{'x': -15.308, 'y': 1.41, 'z': -32.161}
accel:{'x': 0.514, 'y': -0.142, 'z': -1.035}, gyro:{'x': -6.432, 'y': 57.411, 'z': 52.742}, agnet:{'x': -13.742, 'y': -2.997, 'z': -28.268}
accel:{'x': 0.417, 'y': -0.21, 'z': -0.86}, gyro:{'x': 0.221, 'y': -40.26, 'z': -18.555}, agnet:{'x': -10.089, 'y': -3.526, 'z': -24.036}
accel:{'x': 0.417, 'y': -0.219, 'z': -0.898}, gyro:{'x': -20.18, 'y': 4.715, 'z': 6.813}, agnet:{'x': -10.959, 'y': -4.055, 'z': -25.221}
accel:{'x': 0.607, 'y': -0.241, 'z': -0.736}, gyro:{'x': -32.814, 'y': 5.096, 'z': 19.768}, agnet:{'x': -10.611, 'y': -3.35, 'z': -24.205}
accel:{'x': 0.508, 'y': -0.163, 'z': -0.973}, gyro:{'x': 1.434, 'y': 34.897, 'z': 18.082}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.438, 'y': -0.07, 'z': -0.888}, gyro:{'x': 9.453, 'y': 9.048, 'z': 0.458}, agnet:{'x': -9.393, 'y': -3.526, 'z': -23.697}
accel:{'x': 0.559, 'y': -0.108, 'z': -0.933}, gyro:{'x': 7.98, 'y': 0.42, 'z': -38.757}, agnet:{'x': -9.219, 'y': -4.407, 'z': -24.544}
accel:{'x': 0.587, 'y': -0.011, 'z': -1.038}, gyro:{'x': -12.451, 'y': -20.935, 'z': -34.119}, agnet:{'x': -11.655, 'y': -4.407, 'z': -25.221}
accel:{'x': 0.469, 'y': -0.149, 'z': -0.617}, gyro:{'x': -17.647, 'y': 28.595, 'z': -29.9}, agnet:{'x': -15.83, 'y': -2.644, 'z': -29.283}
accel:{'x': 0.553, 'y': 0.024, 'z': -1.281}, gyro:{'x': 26.81, 'y': 48.012, 'z': 48.698}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.437, 'y': -0.002, 'z': -0.988}, gyro:{'x': 14.839, 'y': 61.02, 'z': 53.345}, agnet:{'x': -14.438, 'y': -3.702, 'z': -27.591}
accel:{'x': 0.398, 'y': -0.017, 'z': -0.976}, gyro:{'x': -56.213, 'y': -58.807, 'z': -4.082}, agnet:{'x': -11.133, 'y': -4.584, 'z': -21.328}
accel:{'x': 0.499, 'y': 0.004, 'z': -1.229}, gyro:{'x': -84.633, 'y': -79.727, 'z': -105.469}, agnet:{'x': -14.264, 'y': -3.526, 'z': -24.374}
accel:{'x': 0.322, 'y': 0.134, 'z': -1.119}, gyro:{'x': -57.144, 'y': -48.454, 'z': -21.645}, agnet:{'x': -24.353, 'y': 0.705, 'z': -30.807}
accel:{'x': 0.314, 'y': 0.321, 'z': -1.026}, gyro:{'x': 1.358, 'y': 16.518, 'z': -2.991}, agnet:{'x': -27.137, 'y': 3.173, 'z': -31.484}
accel:{'x': 0.587, 'y': 0.088, 'z': -0.86}, gyro:{'x': -5.966, 'y': 126.907, 'z': 59.967}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.513, 'y': 0.221, 'z': -0.998}, gyro:{'x': 95.512, 'y': 249.992, 'z': 205.902}, agnet:{'x': -20.7, 'y': -1.939, 'z': -26.913}
accel:{'x': 0.506, 'y': 0.107, 'z': -0.67}, gyro:{'x': 12.527, 'y': 8.797, 'z': 44.785}, agnet:{'x': -5.219, 'y': -5.289, 'z': -11.172}
accel:{'x': 0.488, 'y': -0.147, 'z': -0.69}, gyro:{'x': 5.402, 'y': -80.177, 'z': -91.179}, agnet:{'x': -0.87, 'y': -5.465, 'z': -8.971}
accel:{'x': 0.954, 'y': -0.152, 'z': -0.989}, gyro:{'x': 13.268, 'y': -68.626, 'z': -79.529}, agnet:{'x': -9.915, 'y': -3.702, 'z': -16.419}
accel:{'x': 0.583, 'y': -0.128, 'z': -0.714}, gyro:{'x': 0.755, 'y': 56.152, 'z': 42.946}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.517, 'y': -0.061, 'z': -0.962}, gyro:{'x': 16.563, 'y': 55.389, 'z': 106.277}, agnet:{'x': -13.046, 'y': -5.818, 'z': -17.435}
accel:{'x': 0.481, 'y': -0.168, 'z': -0.763}, gyro:{'x': -5.409, 'y': -39.543, 'z': -42.732}, agnet:{'x': -2.783, 'y': -4.936, 'z': -10.495}
accel:{'x': 0.536, 'y': 0.026, 'z': -0.72}, gyro:{'x': 16.754, 'y': -92.987, 'z': -105.37}, agnet:{'x': -6.958, 'y': -4.936, 'z': -14.218}
accel:{'x': 0.46, 'y': -0.165, 'z': -0.385}, gyro:{'x': 30.357, 'y': -43.594, 'z': 55.595}, agnet:{'x': -13.568, 'y': -5.641, 'z': -18.619}
accel:{'x': 0.823, 'y': -0.593, 'z': -0.816}, gyro:{'x': 16.335, 'y': 41.496, 'z': 47.195}, agnet:{'x': -6.436, 'y': -5.818, 'z': -13.372}
accel:{'x': 1.376, 'y': -0.234, 'z': -1.344}, gyro:{'x': 33.31, 'y': 146.843, 'z': 123.917}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.346, 'y': -0.333, 'z': -0.58}, gyro:{'x': 22.278, 'y': 135.841, 'z': 102.386}, agnet:{'x': 0.0, 'y': -5.289, 'z': -9.14}
accel:{'x': 0.348, 'y': -0.141, 'z': -0.649}, gyro:{'x': -74.875, 'y': -227.226, 'z': -98.709}, agnet:{'x': 9.219, 'y': 0.176, 'z': 2.539}
accel:{'x': 0.442, 'y': 0.182, 'z': -0.953}, gyro:{'x': 6.752, 'y': 73.441, 'z': 118.393}, agnet:{'x': -0.522, 'y': -4.76, 'z': -8.294}
accel:{'x': 0.314, 'y': -0.082, 'z': -0.732}, gyro:{'x': -12.344, 'y': -110.016, 'z': -120.3}, agnet:{'x': 4.697, 'y': -2.644, 'z': -4.232}
accel:{'x': 1.125, 'y': -0.52, 'z': -0.521}, gyro:{'x': -15.953, 'y': -114.822, 'z': -79.254}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.572, 'y': -0.075, 'z': -0.739}, gyro:{'x': 69.664, 'y': 106.544, 'z': 61.172}, agnet:{'x': -6.61, 'y': -5.289, 'z': -12.187}
accel:{'x': 0.853, 'y': -0.046, 'z': -0.217}, gyro:{'x': 14.366, 'y': -51.231, 'z': -42.244}, agnet:{'x': -6.784, 'y': -6.876, 'z': -10.325}
accel:{'x': 1.002, 'y': -0.299, 'z': -0.999}, gyro:{'x': -42.473, 'y': -98.877, 'z': -38.055}, agnet:{'x': -8.698, 'y': -6.699, 'z': -13.541}
accel:{'x': 1.104, 'y': -0.24, 'z': -0.891}, gyro:{'x': 19.691, 'y': 85.228, 'z': -6.218}, agnet:{'x': -13.394, 'y': -5.465, 'z': -19.804}
accel:{'x': 0.619, 'y': -0.166, 'z': -0.781}, gyro:{'x': 5.257, 'y': 14.153, 'z': -20.592}, agnet:{'x': -9.393, 'y': -6.699, 'z': -15.911}
accel:{'x': 0.377, 'y': -0.192, 'z': -0.721}, gyro:{'x': 11.444, 'y': 14.893, 'z': 26.245}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.783, 'y': -0.286, 'z': -0.758}, gyro:{'x': -1.381, 'y': -45.685, 'z': -34.286}, agnet:{'x': -9.741, 'y': -6.699, 'z': -14.557}
accel:{'x': 0.982, 'y': -0.176, 'z': -0.914}, gyro:{'x': 23.651, 'y': 84.465, 'z': 42.427}, agnet:{'x': -10.263, 'y': -5.113, 'z': -18.45}
accel:{'x': 0.448, 'y': -0.128, 'z': -0.994}, gyro:{'x': 16.586, 'y': 31.677, 'z': -41.801}, agnet:{'x': -8.872, 'y': -5.465, 'z': -17.773}
accel:{'x': 0.586, 'y': 0.05, 'z': -0.864}, gyro:{'x': -0.42, 'y': -35.21, 'z': -11.017}, agnet:{'x': -6.784, 'y': -5.465, 'z': -14.388}
accel:{'x': 0.757, 'y': -0.057, 'z': -0.961}, gyro:{'x': -56.458, 'y': -82.329, 'z': -51.72}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.717, 'y': -0.182, 'z': -0.874}, gyro:{'x': -20.752, 'y': -24.933, 'z': -4.036}, agnet:{'x': -12.003, 'y': -5.465, 'z': -17.773}
accel:{'x': 0.556, 'y': -0.2, 'z': -0.671}, gyro:{'x': -15.03, 'y': -15.793, 'z': -28.114}, agnet:{'x': -13.568, 'y': -5.641, 'z': -19.296}
accel:{'x': 0.475, 'y': 0.118, 'z': -0.954}, gyro:{'x': -43.549, 'y': 34.111, 'z': 83.42}, agnet:{'x': -15.134, 'y': -5.113, 'z': -21.158}
accel:{'x': 0.883, 'y': -0.036, 'z': -1.061}, gyro:{'x': -14.32, 'y': -7.744, 'z': -18.089}, agnet:{'x': -10.263, 'y': -5.113, 'z': -18.112}
accel:{'x': -0.097, 'y': -0.257, 'z': -0.707}, gyro:{'x': -6.226, 'y': -30.975, 'z': 13.771}, agnet:{'x': -14.438, 'y': -4.055, 'z': -22.174}
accel:{'x': 1.094, 'y': 0.237, 'z': -1.144}, gyro:{'x': -48.119, 'y': -30.518, 'z': 59.494}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.012, 'y': -0.15, 'z': -0.497}, gyro:{'x': 7.69, 'y': -74.86, 'z': -175.591}, agnet:{'x': -9.915, 'y': -4.407, 'z': -14.726}
accel:{'x': 0.394, 'y': 0.53, 'z': -1.08}, gyro:{'x': 3.494, 'y': -84.953, 'z': -60.463}, agnet:{'x': -24.701, 'y': 0.705, 'z': -27.083}
accel:{'x': 0.553, 'y': -0.221, 'z': -0.684}, gyro:{'x': -37.201, 'y': 151.611, 'z': 124.657}, agnet:{'x': -23.658, 'y': 0.705, 'z': -28.437}
accel:{'x': 1.341, 'y': -0.001, 'z': -1.473}, gyro:{'x': 73.761, 'y': 151.939, 'z': 216.667}, agnet:{'x': -13.916, 'y': -5.289, 'z': -17.604}
