  t=31.450000, Gx=-12.931298, Gy=28.297710, Gz=-10.946565, Ax=-0.692871, Ay=-0.376221, Az=-0.170898
  t=31.308824, Gx=-4.068702, Gy=6.633588, Gz=6.412214, Ax=-0.683838, Ay=-0.018799, Az=-0.591797
  t=31.591176, Gx=-1.793893, Gy=1.488550, Gz=-7.839695, Ax=-0.587158, Ay=0.051514, Az=-0.631836
  t=31.402941, Gx=-6.526718, Gy=-2.328244, Gz=6.274809, Ax=-0.653809, Ay=-0.253662, Az=-0.315186
  t=31.402941, Gx=-12.938931, Gy=15.992366, Gz=7.992366, Ax=-0.701172, Ay=-0.060059, Az=-0.593750
  t=31.497059, Gx=-8.473282, Gy=-1.717557, Gz=14.106870, Ax=-0.654053, Ay=0.122803, Az=-0.815674
  t=31.355882, Gx=-12.206107, Gy=25.305344, Gz=13.213740, Ax=-0.644775, Ay=0.107910, Az=-0.709717
  t=31.402941, Gx=-17.824427, Gy=17.312977, Gz=15.580153, Ax=-0.620605, Ay=0.066650, Az=-0.633545
  t=31.402941, Gx=-15.297710, Gy=35.114504, Gz=-7.404580, Ax=-0.643066, Ay=0.107178, Az=-0.702148
  t=31.308824, Gx=-12.290076, Gy=-4.511450, Gz=20.404580, Ax=-0.613037, Ay=0.016357, Az=-0.633057
  t=31.308824, Gx=10.251908, Gy=-24.908397, Gz=-8.740458, Ax=-0.774658, Ay=0.126465, Az=-0.782227
  t=31.967647, Gx=-10.114504, Gy=6.366412, Gz=4.595420, Ax=-0.444092, Ay=0.178223, Az=-0.503662
  t=30.555882, Gx=-17.045802, Gy=14.610687, Gz=10.839695, Ax=-0.695312, Ay=-0.085205, Az=-0.631836
  t=31.214706, Gx=-3.053435, Gy=16.053435, Gz=-27.641221, Ax=-0.592285, Ay=-0.179199, Az=-0.500732
  t=31.026471, Gx=2.320611, Gy=-10.236641, Gz=7.519084, Ax=-0.499268, Ay=0.472412, Az=-0.893799
  t=31.167647, Gx=-2.259542, Gy=10.908397, Gz=-10.977099, Ax=-0.630127, Ay=-0.151123, Az=-0.644287
  t=31.073529, Gx=-16.129771, Gy=19.519084, Gz=1.519084, Ax=-0.545898, Ay=0.200684, Az=-0.788574
  t=31.167647, Gx=14.938931, Gy=-18.374046, Gz=-9.954198, Ax=-0.754883, Ay=-0.185303, Az=-0.402588
  t=31.120588, Gx=-4.458015, Gy=1.893130, Gz=8.442748, Ax=-0.335449, Ay=0.136475, Az=-0.576904
  t=31.214706, Gx=-4.938931, Gy=-1.290076, Gz=7.916031, Ax=-0.724121, Ay=0.020020, Az=-0.787842
  t=31.167647, Gx=4.900763, Gy=-1.083969, Gz=-15.534351, Ax=-0.506104, Ay=0.039307, Az=-0.573242
  t=31.120588, Gx=-4.633588, Gy=-24.702290, Gz=16.000000, Ax=-0.612305, Ay=0.222900, Az=-0.809082
  t=31.167647, Gx=-2.877863, Gy=4.442748, Gz=-14.572519, Ax=-0.684814, Ay=-0.228027, Az=-0.474365
  t=31.026471, Gx=-16.763359, Gy=29.931298, Gz=-12.480916, Ax=-0.256348, Ay=0.013184, Az=-0.208496
  t=31.120588, Gx=12.137405, Gy=-26.595420, Gz=0.595420, Ax=-0.882812, Ay=-0.237793, Az=-0.776855
  t=30.979412, Gx=22.687023, Gy=-37.312977, Gz=-9.618321, Ax=-0.609863, Ay=-0.161865, Az=-0.426025
  t=31.026471, Gx=-3.809160, Gy=-38.396947, Gz=23.312977, Ax=-0.368408, Ay=-0.187256, Az=-0.495850
  t=30.979412, Gx=7.190840, Gy=31.816794, Gz=-38.396947, Ax=-0.658936, Ay=-0.151123, Az=-0.638672
  t=30.979412, Gx=-3.557252, Gy=-15.335878, Gz=12.603053, Ax=-0.603027, Ay=-0.025635, Az=-0.534668
  t=30.932353, Gx=5.824427, Gy=21.335878, Gz=-33.687023, Ax=-0.474365, Ay=-0.233887, Az=-0.381592
  t=30.932353, Gx=10.351145, Gy=9.061069, Gz=-35.786260, Ax=-1.012695, Ay=-0.003174, Az=-0.813965
  t=30.885294, Gx=-13.419847, Gy=36.725191, Gz=-27.496183, Ax=-0.218994, Ay=-0.087158, Az=-0.102051
  t=31.073529, Gx=-7.244275, Gy=26.854962, Gz=-15.595420, Ax=-0.965088, Ay=-0.243408, Az=-0.405029
  t=31.167647, Gx=0.633588, Gy=10.488550, Gz=-0.099237, Ax=-0.599854, Ay=-0.248779, Az=-0.249268
  t=31.026471, Gx=6.893130, Gy=-17.236641, Gz=-5.916031, Ax=-0.545410, Ay=0.138184, Az=-0.770752
  t=31.073529, Gx=3.526718, Gy=2.870229, Gz=-10.038168, Ax=-0.706787, Ay=-0.008057, Az=-0.592529
  t=30.979412, Gx=5.328244, Gy=-25.305344, Gz=12.870229, Ax=-0.504150, Ay=0.253418, Az=-0.989990
