  t=25.332353, Gx=-5.603053, Gy=0.702290, Gz=-0.183206, Ax=-0.500977, Ay=-0.787354, Az=0.254395
  t=25.426471, Gx=-4.603053, Gy=0.664122, Gz=1.435115, Ax=-0.494141, Ay=-0.794922, Az=0.234863
  t=25.426471, Gx=-5.274809, Gy=0.366412, Gz=-0.137405, Ax=-0.501709, Ay=-0.796875, Az=0.252686
  t=25.473529, Gx=-6.129771, Gy=0.312977, Gz=-0.206107, Ax=-0.492432, Ay=-0.787842, Az=0.253174
  t=25.473529, Gx=-5.671756, Gy=0.793893, Gz=-1.923664, Ax=-0.492920, Ay=-0.785156, Az=0.244385
  t=25.473529, Gx=-5.526718, Gy=0.717557, Gz=-0.122137, Ax=-0.495605, Ay=-0.787842, Az=0.250977
  t=25.520588, Gx=-3.946565, Gy=0.496183, Gz=-0.229008, Ax=-0.496338, Ay=-0.788330, Az=0.251465
  t=25.473529, Gx=-5.824427, Gy=0.572519, Gz=0.099237, Ax=-0.497803, Ay=-0.788330, Az=0.248535
  t=25.426471, Gx=-6.007634, Gy=0.572519, Gz=-0.244275, Ax=-0.500732, Ay=-0.782227, Az=0.242920
  t=25.520588, Gx=-6.076336, Gy=0.404580, Gz=-0.236641, Ax=-0.498291, Ay=-0.783691, Az=0.243652
  t=25.567647, Gx=-5.396947, Gy=0.893130, Gz=0.213740, Ax=-0.496094, Ay=-0.783936, Az=0.256104
  t=25.520588, Gx=-5.984733, Gy=0.717557, Gz=-0.244275, Ax=-0.497070, Ay=-0.794434, Az=0.255615
  t=25.614706, Gx=-5.702290, Gy=0.351145, Gz=-1.931298, Ax=-0.495117, Ay=-0.790527, Az=0.250244
  t=25.614706, Gx=-5.572519, Gy=0.396947, Gz=-1.946565, Ax=-0.489746, Ay=-0.784424, Az=0.234619
  t=25.661765, Gx=-5.610687, Gy=0.396947, Gz=-0.038168, Ax=-0.515625, Ay=-0.785645, Az=0.261475
  t=25.614706, Gx=-6.106870, Gy=0.030534, Gz=-0.183206, Ax=-0.492920, Ay=-0.789307, Az=0.243408
  t=25.614706, Gx=-6.129771, Gy=0.320611, Gz=-0.167939, Ax=-0.496582, Ay=-0.783447, Az=0.251221
  t=25.614706, Gx=-5.816794, Gy=0.519084, Gz=0.038168, Ax=-0.501221, Ay=-0.789062, Az=0.245361
  t=25.661765, Gx=-6.099237, Gy=0.679389, Gz=-0.145038, Ax=-0.503906, Ay=-0.788330, Az=0.254395
  t=25.614706, Gx=-6.129771, Gy=0.450382, Gz=-0.106870, Ax=-0.498291, Ay=-0.788330, Az=0.256348
  t=25.614706, Gx=-5.770992, Gy=0.389313, Gz=-0.122137, Ax=-0.501709, Ay=-0.787354, Az=0.249268
  t=25.614706, Gx=-5.916031, Gy=0.366412, Gz=-0.229008, Ax=-0.496338, Ay=-0.782959, Az=0.250732
  t=25.708824, Gx=-5.832061, Gy=0.396947, Gz=-0.145038, Ax=-0.505371, Ay=-0.783691, Az=0.241455
  t=25.708824, Gx=-5.961832, Gy=0.419847, Gz=-0.152672, Ax=-0.500488, Ay=-0.785889, Az=0.255127
  t=25.614706, Gx=-4.923664, Gy=1.198473, Gz=0.129771, Ax=-0.498535, Ay=-0.791992, Az=0.247559
  t=25.708824, Gx=-5.885496, Gy=0.465649, Gz=-0.213740, Ax=-0.503906, Ay=-0.789062, Az=0.248779
  t=25.755882, Gx=-5.335878, Gy=0.725191, Gz=0.221374, Ax=-0.497314, Ay=-0.785400, Az=0.261719
  t=25.755882, Gx=-5.732824, Gy=0.709924, Gz=-0.206107, Ax=-0.503418, Ay=-0.791504, Az=0.247803
  t=25.755882, Gx=-6.366412, Gy=0.198473, Gz=-0.267176, Ax=-0.501953, Ay=-0.788574, Az=0.246094
  t=25.755882, Gx=-7.572519, Gy=-0.083969, Gz=-0.938931, Ax=-0.501465, Ay=-0.773926, Az=0.247803
  t=25.755882, Gx=-6.122137, Gy=0.160305, Gz=1.946565, Ax=-0.500488, Ay=-0.788086, Az=0.250244
  t=25.708824, Gx=-6.015267, Gy=0.106870, Gz=-0.030534, Ax=-0.487549, Ay=-0.786621, Az=0.264160
