  t=45.944118, Gx=-5.648855, Gy=5.839695, Gz=0.564885, Ax=0.418823, Ay=-0.980713, Az=-0.052185
  t=44.814706, Gx=-7.152672, Gy=5.022901, Gz=0.641221, Ax=0.435974, Ay=-0.974365, Az=-0.045898
  t=44.861765, Gx=-4.526718, Gy=6.312977, Gz=0.603053, Ax=0.437622, Ay=-0.989014, Az=-0.026245
  t=46.179412, Gx=-4.938931, Gy=-0.503817, Gz=0.496183, Ax=0.423950, Ay=-0.980957, Az=-0.047241
  t=46.132353, Gx=-3.221374, Gy=3.580153, Gz=0.633588, Ax=0.412842, Ay=-0.982239, Az=-0.050354
  t=46.085294, Gx=-1.175573, Gy=1.748092, Gz=0.419847, Ax=0.424622, Ay=-0.980286, Az=-0.042969
  t=45.708824, Gx=9.641221, Gy=-17.343511, Gz=0.580153, Ax=0.446167, Ay=-0.963135, Az=-0.033752
  t=45.379412, Gx=12.290076, Gy=2.458015, Gz=0.534351, Ax=0.448792, Ay=-0.962830, Az=-0.058960
  t=45.238235, Gx=-6.931298, Gy=3.908397, Gz=0.488550, Ax=0.444824, Ay=-0.965332, Az=-0.060303
  t=45.238235, Gx=-9.931298, Gy=0.969466, Gz=0.503817, Ax=0.438110, Ay=-0.962891, Az=-0.061768
  t=44.814706, Gx=16.488550, Gy=-3.267176, Gz=0.572519, Ax=0.443665, Ay=-0.968445, Az=-0.059937
  t=45.238235, Gx=27.664122, Gy=-10.564885, Gz=0.549618, Ax=0.442383, Ay=-0.975159, Az=-0.050659
  t=44.814706, Gx=12.587786, Gy=0.893130, Gz=0.534351, Ax=0.448181, Ay=-0.960510, Az=-0.052979
  t=46.132353, Gx=-10.427481, Gy=-1.801527, Gz=0.526718, Ax=0.436829, Ay=-0.960144, Az=-0.063538
  t=45.332353, Gx=-5.038168, Gy=3.458015, Gz=0.419847, Ax=0.446228, Ay=-0.956177, Az=-0.060181
  t=45.050000, Gx=3.732824, Gy=-1.122137, Gz=0.671756, Ax=0.447754, Ay=-0.956238, Az=-0.064941
  t=45.379412, Gx=6.465649, Gy=-1.786260, Gz=0.671756, Ax=0.446716, Ay=-0.954590, Az=-0.060913
  t=45.332353, Gx=4.557252, Gy=0.305344, Gz=0.541985, Ax=0.445007, Ay=-0.954224, Az=-0.059998
  t=45.238235, Gx=1.106870, Gy=-1.358779, Gz=0.580153, Ax=0.437439, Ay=-0.954834, Az=-0.067993
  t=46.179412, Gx=1.297710, Gy=-1.106870, Gz=0.587786, Ax=0.455566, Ay=-0.971924, Az=-0.072754
  t=45.238235, Gx=10.740458, Gy=-5.183206, Gz=0.587786, Ax=0.442444, Ay=-0.961243, Az=-0.054626
  t=45.379412, Gx=7.007634, Gy=0.793893, Gz=0.610687, Ax=0.439819, Ay=-0.960388, Az=-0.057251
  t=45.238235, Gx=8.549618, Gy=0.068702, Gz=0.595420, Ax=0.442505, Ay=-0.956116, Az=-0.066895
  t=46.132353, Gx=1.900763, Gy=-0.221374, Gz=0.664122, Ax=0.448547, Ay=-0.958557, Az=-0.053711
  t=45.238235, Gx=16.244275, Gy=3.183206, Gz=0.664122, Ax=0.439331, Ay=-0.973877, Az=-0.045471
  t=45.426471, Gx=5.290076, Gy=1.305344, Gz=0.603053, Ax=0.427307, Ay=-0.973389, Az=-0.049805
  t=46.179412, Gx=-16.190840, Gy=2.755725, Gz=0.648855, Ax=0.424255, Ay=-0.964844, Az=-0.064331
  t=44.814706, Gx=-4.129771, Gy=2.732824, Gz=0.488550, Ax=0.433716, Ay=-0.932922, Az=-0.012939
  t=45.520588, Gx=2.526718, Gy=1.290076, Gz=0.610687, Ax=0.436035, Ay=-0.941711, Az=-0.042664
  t=45.614706, Gx=2.954198, Gy=-1.503817, Gz=0.618321, Ax=0.431030, Ay=-0.955872, Az=-0.047607
  t=45.379412, Gx=-3.725191, Gy=3.068702, Gz=0.603053, Ax=0.451782, Ay=-0.965576, Az=-0.045654
  t=45.614706, Gx=1.183206, Gy=1.450382, Gz=0.656489, Ax=0.436401, Ay=-0.951111, Az=-0.049927
  t=45.238235, Gx=-0.015267, Gy=-0.038168, Gz=0.610687, Ax=0.441162, Ay=-0.961914, Az=-0.058411
  t=46.132353, Gx=-3.587786, Gy=-2.274809, Gz=0.740458, Ax=0.443115, Ay=-0.968628, Az=-0.055054
  t=44.814706, Gx=0.473282, Gy=2.251908, Gz=0.572519, Ax=0.437683, Ay=-0.964844, Az=-0.059448
  t=46.132353, Gx=5.374046, Gy=-0.732824, Gz=0.541985, Ax=0.439270, Ay=-0.963867, Az=-0.059570
  t=44.814706, Gx=6.977099, Gy=-2.786260, Gz=0.618321, Ax=0.441589, Ay=-0.963196, Az=-0.057007
  t=45.426471, Gx=8.404580, Gy=-0.946565, Gz=0.656489, Ax=0.440857, Ay=-0.962036, Az=-0.058350
  t=45.002941, Gx=6.160305, Gy=-2.778626, Gz=0.511450, Ax=0.429626, Ay=-0.960022, Az=-0.067261
  t=45.614706, Gx=9.809160, Gy=-9.259542, Gz=0.587786, Ax=0.424438, Ay=-0.977844, Az=-0.047180
  t=45.567647, Gx=4.908397, Gy=-4.038168, Gz=0.595420, Ax=0.399414, Ay=-0.970276, Az=-0.063843
  t=45.614706, Gx=8.480916, Gy=0.862595, Gz=0.671756, Ax=0.439392, Ay=-0.958801, Az=-0.049072
  t=44.861765, Gx=7.832061, Gy=-0.038168, Gz=0.519084, Ax=0.440735, Ay=-0.959656, Az=-0.049438
  t=45.379412, Gx=0.328244, Gy=-0.923664, Gz=0.580153, Ax=0.440186, Ay=-0.960510, Az=-0.051819
  t=44.814706, Gx=7.648855, Gy=-2.305344, Gz=0.580153, Ax=0.427795, Ay=-0.963867, Az=-0.054810
  t=45.379412, Gx=2.244275, Gy=-4.152672, Gz=0.541985, Ax=0.433838, Ay=-0.982788, Az=-0.031128
  t=45.379412, Gx=-1.106870, Gy=-0.389313, Gz=0.534351, Ax=0.434875, Ay=-0.972534, Az=-0.040588
  t=45.708824, Gx=6.328244, Gy=1.351145, Gz=0.641221, Ax=0.450439, Ay=-0.953186, Az=-0.070190
  t=45.426471, Gx=-2.595420, Gy=1.045802, Gz=0.694656, Ax=0.449524, Ay=-0.960693, Az=-0.056580
  t=45.426471, Gx=5.137405, Gy=-5.068702, Gz=0.503817, Ax=0.451355, Ay=-0.966614, Az=-0.056335
  t=45.850000, Gx=-5.236641, Gy=-5.290076, Gz=0.595420, Ax=0.447388, Ay=-0.962463, Az=-0.052917
  t=45.379412, Gx=2.190840, Gy=-1.213740, Gz=0.503817, Ax=0.444519, Ay=-0.961304, Az=-0.061157
  t=44.861765, Gx=-2.122137, Gy=0.893130, Gz=0.526718, Ax=0.440979, Ay=-0.961975, Az=-0.060974
  t=45.755882, Gx=4.404580, Gy=-1.748092, Gz=0.580153, Ax=0.442444, Ay=-0.960999, Az=-0.061829
  t=45.708824, Gx=0.106870, Gy=0.381679, Gz=0.618321, Ax=0.451477, Ay=-0.964722, Az=-0.054443
  t=45.708824, Gx=4.526718, Gy=-0.152672, Gz=0.633588, Ax=0.444336, Ay=-0.962219, Az=-0.058533
  t=45.897059, Gx=7.137405, Gy=-1.045802, Gz=0.572519, Ax=0.444397, Ay=-0.960999, Az=-0.059265
  t=45.614706, Gx=5.656489, Gy=0.641221, Gz=0.618321, Ax=0.445862, Ay=-0.962280, Az=-0.058472
  t=46.038235, Gx=5.961832, Gy=0.564885, Gz=0.549618, Ax=0.448181, Ay=-0.962036, Az=-0.057373
  t=45.755882, Gx=10.259542, Gy=-1.038168, Gz=0.564885, Ax=0.445984, Ay=-0.962585, Az=-0.059326
  t=45.850000, Gx=-7.717557, Gy=15.213740, Gz=0.618321, Ax=0.443787, Ay=-0.964417, Az=-0.062195
  t=45.614706, Gx=-1.442748, Gy=-1.534351, Gz=0.519084, Ax=0.424316, Ay=-0.954773, Az=-0.080383
  t=45.755882, Gx=22.221374, Gy=-9.122137, Gz=0.595420, Ax=0.437378, Ay=-0.963135, Az=-0.064148
  t=45.567647, Gx=5.793893, Gy=-6.244275, Gz=0.587786, Ax=0.447998, Ay=-0.968384, Az=-0.058228
  t=46.038235, Gx=8.297710, Gy=2.290076, Gz=0.450382, Ax=0.445251, Ay=-0.962891, Az=-0.059204
  t=45.897059, Gx=10.702290, Gy=-4.770992, Gz=0.679389, Ax=0.446472, Ay=-0.962891, Az=-0.059692
  t=45.850000, Gx=0.152672, Gy=-2.290076, Gz=0.595420, Ax=0.446350, Ay=-0.963562, Az=-0.058716
  t=45.708824, Gx=3.412214, Gy=-1.145038, Gz=0.625954, Ax=0.445374, Ay=-0.961548, Az=-0.060486
  t=46.085294, Gx=3.740458, Gy=-0.648855, Gz=0.595420, Ax=0.443115, Ay=-0.963257, Az=-0.061035
  t=45.755882, Gx=0.404580, Gy=0.396947, Gz=0.541985, Ax=0.446899, Ay=-0.960510, Az=-0.062012
  t=45.944118, Gx=7.740458, Gy=-2.847328, Gz=0.557252, Ax=0.444397, Ay=-0.962646, Az=-0.061096
  t=45.755882, Gx=1.793893, Gy=-1.908397, Gz=0.595420, Ax=0.436340, Ay=-0.959656, Az=-0.067566
  t=46.085294, Gx=9.045802, Gy=-4.511450, Gz=0.458015, Ax=0.442383, Ay=-0.961914, Az=-0.063904
  t=45.755882, Gx=5.603053, Gy=-0.076336, Gz=0.526718, Ax=0.444214, Ay=-0.961060, Az=-0.065430
  t=45.897059, Gx=7.076336, Gy=-0.885496, Gz=0.641221, Ax=0.445007, Ay=-0.962158, Az=-0.059448
  t=45.614706, Gx=7.877863, Gy=-5.267176, Gz=0.557252, Ax=0.446167, Ay=-0.962463, Az=-0.058350
  t=45.755882, Gx=0.755725, Gy=-1.404580, Gz=0.595420, Ax=0.444153, Ay=-0.962952, Az=-0.061951
  t=45.755882, Gx=-1.007634, Gy=2.183206, Gz=0.641221, Ax=0.448486, Ay=-0.963623, Az=-0.055237
  t=45.850000, Gx=-2.175573, Gy=-7.587786, Gz=0.564885, Ax=0.459351, Ay=-0.968201, Az=-0.042175
  t=46.085294, Gx=2.984733, Gy=2.725191, Gz=0.633588, Ax=0.448914, Ay=-0.964478, Az=-0.054565
